1	1	N-	----NSF-	13442	Ἀποκάλυψις	ἀποκαλυψις	αποκαλυψις	ἀποκάλυψις			
1	1	N-	----GSM-	9538	Ἰησοῦ	ἰησου	ιησου	Ἰησοῦς			
1	1	N-	----GSM-	9538	Χριστοῦ	χριστου	χριστου	Χριστός			,
1	1	RR	----ASF-	14	ἣν	ἡν	ην	ὅς			
1	1	V-	3AAI-S--	633473	ἔδωκεν	ἐδωκεν	εδωκεν	δίδωμι			
1	1	RP	----DSM-	13	αὐτῷ	αὐτω	αυτω	αὐτός			
1	1	RA	----NSM-	10	ὁ	ὁ	ο	ὁ			
1	1	N-	----NSM-	9346	θεὸς	θεος	θεος	θεός			
1	1	V-	-AAN----	306049	δεῖξαι	δειξαι	δειξαι	δείκνυμι			
1	1	RA	----DPM-	10	τοῖς	τοις	τοις	ὁ			
1	1	N-	----DPM-	10114	δούλοις	δουλοις	δουλοις	δοῦλος			
1	1	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			,
1	1	RR	----APN-	14	ἃ	ἁ	α	ὅς			
1	1	V-	3PAI-S--	631937	δεῖ	δει	δει	δέω			
1	1	V-	-AMN----	310145	γενέσθαι	γενεσθαι	γενεσθαι	γίνομαι			
1	1	P-	--------	7	ἐν	ἐν	εν	ἐν			
1	1	N-	----DSN-	17794	τάχει	ταχει	ταχει	τάχος			,
1	1	C-	--------	4	καὶ	και	και	καί			
1	1	V-	3AAI-S--	633473	ἐσήμανεν	ἐσημανεν	εσημανεν	σημαίνω			
1	1	V-	-AAPNSM-	568257	ἀποστείλας	ἀποστειλας	αποστειλας	ἀποστέλλω			
1	1	P-	--------	7	διὰ	δια	δια	διά			
1	1	RA	----GSM-	10	τοῦ	του	του	ὁ			
1	1	N-	----GSM-	9538	ἀγγέλου	ἀγγελου	αγγελου	ἄγγελος			
1	1	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			
1	1	RA	----DSM-	10	τῷ	τω	τω	ὁ			
1	1	N-	----DSM-	9602	δούλῳ	δουλω	δουλω	δοῦλος			
1	1	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			
1	1	N-	----DSM-	9602	Ἰωάννῃ	ἰωαννη	ιωαννη	Ἰωάννης			,
1	2	RR	----NSM-	14	ὃς	ὁς	ος	ὅς			
1	2	V-	3AAI-S--	633473	ἐμαρτύρησεν	ἐμαρτυρησεν	εμαρτυρησεν	μαρτυρέω			
1	2	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	2	N-	----ASM-	9474	λόγον	λογον	λογον	λόγος			
1	2	RA	----GSM-	10	τοῦ	του	του	ὁ			
1	2	N-	----GSM-	9538	θεοῦ	θεου	θεου	θεός			
1	2	C-	--------	4	καὶ	και	και	καί			
1	2	RA	----ASF-	10	τὴν	την	την	ὁ			
1	2	N-	----ASF-	13570	μαρτυρίαν	μαρτυριαν	μαρτυριαν	μαρτυρία			
1	2	N-	----GSM-	9538	Ἰησοῦ	ἰησου	ιησου	Ἰησοῦς			
1	2	N-	----GSM-	9538	Χριστοῦ	χριστου	χριστου	Χριστός			,
1	2	RR	----APN-	14	ὅσα	ὁσα	οσα	ὅσος			
1	2	V-	3AAI-S--	633473	εἶδεν	εἰδεν	ειδεν	ὁράω			.
1	3	A-	----NSM-	9347	μακάριος	μακαριος	μακαριος	μακάριος			
1	3	RA	----NSM-	10	ὁ	ὁ	ο	ὁ			
1	3	V-	-PAPNSM-	566721	ἀναγινώσκων	ἀναγινωσκων	αναγινωσκων	ἀναγινώσκω			
1	3	C-	--------	4	καὶ	και	και	καί			
1	3	RA	----NPM-	10	οἱ	οἱ	οι	ὁ			
1	3	V-	-PAPNPM-	828865	ἀκούοντες	ἀκουοντες	ακουοντες	ἀκούω			
1	3	RA	----APM-	10	τοὺς	τους	τους	ὁ			
1	3	N-	----APM-	9986	λόγους	λογους	λογους	λόγος			
1	3	RA	----GSF-	10	τῆς	της	της	ὁ			
1	3	N-	----GSF-	13634	προφητείας	προφητειας	προφητειας	προφητεία			
1	3	C-	--------	4	καὶ	και	και	καί			
1	3	V-	-PAPNPM-	828865	τηροῦντες	τηρουντες	τηρουντες	τηρέω			
1	3	RA	----APN-	10	τὰ	τα	τα	ὁ			
1	3	P-	--------	7	ἐν	ἐν	εν	ἐν			
1	3	RP	----DSF-	13	αὐτῇ	αὐτη	αυτη	αὐτός			
